name,code,series_code,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..
Algeria,DZA,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,6000000,..,..,..,..,..,..,..,..,..,..,..,6000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
American Samoa,ASM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3000000,0,..,..,..,..,..,..,..,..,..,..,..,8000000,..,..,..,..,..,..,..,..,..,2000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,arms_exp,Arms exports (SIPRI trend indicator values),3000000,0,9000000,8000000,2000000,..,13000000,12000000,35000000,21000000,53000000,..,2000000,..,..,..,4000000,..,..,..,..,217000000,..,..,98000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,156000000
Argentina,ARG,arms_exp,Arms exports (SIPRI trend indicator values),..,..,6000000,..,4000000,..,..,0,8000000,..,0,..,11000000,..,..,..,1000000,..,..,8000000,1000000,24000000,3000000,1000000,..,..,..,4000000,1000000,..,6000000,0,..,11000000,4000000,5000000,..,..,..,..,2000000,6000000,2000000,..,..,..,2000000,..,..,..,..,1000000,..,..,..,..,..,..
Armenia,ARM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,arms_exp,Arms exports (SIPRI trend indicator values),..,2000000,2000000,..,..,..,..,..,..,26000000,17000000,36000000,6000000,72000000,92000000,131000000,113000000,62000000,21000000,22000000,15000000,15000000,24000000,31000000,62000000,13000000,57000000,89000000,18000000,18000000,158000000,85000000,..,30000000,36000000,36000000,16000000,20000000,4000000,..,..,43000000,47000000,44000000,2000000,49000000,14000000,18000000,25000000,80000000,115000000,143000000,45000000,54000000,97000000,87000000,134000000,97000000
Austria,AUT,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,0,..,..,37000000,126000000,54000000,70000000,60000000,56000000,58000000,348000000,40000000,30000000,12000000,12000000,30000000,20000000,20000000,10000000,17000000,..,18000000,1000000,29000000,23000000,24000000,17000000,83000000,3000000,3000000,4000000,63000000,100000000,15000000,42000000,48000000,51000000,24000000,29000000,15000000,10000000,15000000,22000000
Azerbaijan,AZE,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..
Bahrain,BHR,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8000000,..,7000000,129000000,341000000,63000000,452000000,293000000,49000000,63000000,57000000,19000000,53000000,43000000,6000000,224000000,41000000,159000000,96000000,65000000,268000000,68000000,142000000,152000000,23000000
Belgium,BEL,arms_exp,Arms exports (SIPRI trend indicator values),3000000,0,2000000,1000000,1000000,..,12000000,..,..,5000000,..,..,..,..,..,..,..,..,2000000,3000000,1000000,19000000,41000000,89000000,115000000,3000000,19000000,..,18000000,36000000,1000000,1000000,..,..,33000000,167000000,59000000,93000000,46000000,45000000,26000000,37000000,35000000,15000000,47000000,159000000,59000000,19000000,217000000,243000000,9000000,111000000,22000000,55000000,10000000,12000000,7000000,12000000
Belize,BLZ,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4000000,..,..,..,..,..,..,..,..,14000000,..,3000000,..,..,..,..
Botswana,BWA,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4000000,4000000,..,..,..,..
Brazil,BRA,arms_exp,Arms exports (SIPRI trend indicator values),2000000,12000000,..,..,..,..,..,..,..,3000000,..,0,..,..,32000000,59000000,104000000,145000000,179000000,70000000,156000000,62000000,122000000,196000000,269000000,205000000,151000000,179000000,216000000,47000000,96000000,114000000,91000000,36000000,54000000,33000000,23000000,23000000,16000000,..,..,..,26000000,..,46000000,1000000,44000000,53000000,92000000,43000000,151000000,31000000,33000000,40000000,42000000,41000000,111000000,45000000
British Virgin Islands,VGB,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24000000,..,..,..,..,12000000,..
Bulgaria,BGR,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4000000,..,..,106000000,..,..,5000000,6000000,42000000,16000000,28000000,55000000,1000000,21000000,6000000,39000000,167000000,2000000,10000000,32000000,44000000,19000000,86000000,5000000,9000000,4000000,16000000,4000000,2000000,13000000,21000000,14000000,70000000,61000000,..
Burkina Faso,BFA,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,arms_exp,Arms exports (SIPRI trend indicator values),50000000,311000000,188000000,213000000,252000000,111000000,101000000,52000000,197000000,166000000,196000000,293000000,327000000,130000000,121000000,148000000,329000000,169000000,190000000,195000000,161000000,130000000,259000000,120000000,108000000,100000000,267000000,272000000,153000000,49000000,101000000,121000000,143000000,146000000,167000000,263000000,159000000,95000000,40000000,79000000,74000000,129000000,178000000,278000000,278000000,235000000,236000000,333000000,238000000,186000000,244000000,321000000,339000000,262000000,247000000,356000000,144000000,87000000
Caribbean small states,CSS,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,arms_exp,Arms exports (SIPRI trend indicator values),5000000,5000000,12000000,111000000,237000000,234000000,337000000,327000000,325000000,351000000,268000000,280000000,289000000,211000000,241000000,..,..,..,344000000,273000000,259000000,406000000,306000000,224000000,..,..,399000000,..,..,50000000,118000000,102000000,..,..,581000000,432000000,264000000,141000000,..,..,173000000,..,217000000,..,..,259000000,346000000,267000000,..,..,..,..,157000000,354000000,..,..,..,..
Chad,TCD,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,0,..,1000000,..,..,3000000,3000000,4000000,4000000,..,3000000,1000000,..,..,..,29000000,..,2000000,1000000,1000000,..,1000000,..,..,..,..,..,100000000,..,..,..,..,..,20000000,..,..,0
China,CHN,arms_exp,Arms exports (SIPRI trend indicator values),285000000,35000000,51000000,11000000,61000000,419000000,619000000,410000000,730000000,657000000,893000000,1292000000,1238000000,674000000,511000000,668000000,586000000,224000000,617000000,560000000,949000000,642000000,1504000000,1773000000,1929000000,1263000000,1862000000,2606000000,1409000000,1040000000,941000000,1315000000,703000000,1436000000,1111000000,1013000000,772000000,435000000,353000000,332000000,302000000,515000000,526000000,700000000,413000000,286000000,670000000,510000000,649000000,1140000000,1479000000,1253000000,1509000000,2006000000,1152000000,1832000000,2192000000,1131000000
Colombia,COL,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5000000,..,..,..,..,..,..,..,..,..,0,..,..,..,..,10000000
Comoros,COM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3000000
Cuba,CUB,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,12000000,10000000,8000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,202000000,320000000,143000000,126000000,24000000,21000000,57000000,81000000,88000000,60000000,64000000,1000000,70000000,44000000,32000000,32000000,23000000,5000000,11000000,8000000,41000000,27000000,138000000,133000000,110000000
Denmark,DNK,arms_exp,Arms exports (SIPRI trend indicator values),20000000,..,..,..,60000000,20000000,..,131000000,28000000,3000000,..,..,..,..,..,23000000,..,..,..,..,18000000,29000000,64000000,115000000,..,..,..,117000000,40000000,..,72000000,10000000,..,183000000,272000000,16000000,..,..,1000000,6000000,20000000,1000000,10000000,5000000,..,..,9000000,6000000,17000000,14000000,8000000,21000000,33000000,9000000,17000000,25000000,26000000,12000000
Djibouti,DJI,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4000000
Early-demographic dividend,EAR,arms_exp,Arms exports (SIPRI trend indicator values),27000000,33000000,..,..,..,..,..,58000000,..,70000000,..,..,164000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,arms_exp,Arms exports (SIPRI trend indicator values),286000000,98000000,153000000,26000000,75000000,..,..,423000000,..,..,..,..,..,..,..,..,..,..,..,791000000,..,..,..,..,..,..,..,..,..,1308000000,1255000000,..,..,..,..,..,1051000000,614000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1927000000
East Asia & Pacific (excluding high income),EAP,arms_exp,Arms exports (SIPRI trend indicator values),285000000,35000000,51000000,18000000,61000000,419000000,619000000,410000000,730000000,657000000,905000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1079000000,..,..,..,447000000,..,..,..,841000000,492000000,314000000,805000000,534000000,670000000,1160000000,1479000000,1261000000,1509000000,2006000000,1153000000,1832000000,2288000000,..
East Asia & Pacific (IDA & IBRD countries),TEA,arms_exp,Arms exports (SIPRI trend indicator values),285000000,35000000,51000000,18000000,61000000,419000000,619000000,410000000,730000000,657000000,905000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1038000000,..,..,..,392000000,..,..,..,707000000,445000000,294000000,785000000,514000000,650000000,1140000000,1479000000,1261000000,1509000000,2006000000,1152000000,1832000000,2288000000,..
Ecuador,ECU,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6000000,..,..,..
"Egypt, Arab Rep.",EGY,arms_exp,Arms exports (SIPRI trend indicator values),..,0,7000000,8000000,2000000,..,13000000,3000000,26000000,15000000,39000000,..,..,..,..,16000000,..,69000000,80000000,13000000,29000000,77000000,80000000,70000000,36000000,5000000,19000000,61000000,65000000,63000000,20000000,..,13000000,22000000,15000000,9000000,5000000,5000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7000000,22000000,..,..
El Salvador,SLV,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,arms_exp,Arms exports (SIPRI trend indicator values),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
